Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-07-16,BO,0,3,7,2015-W28,2015-08-20
2015-07-16,BOMBALI,0,3,8,2015-W28,2015-08-20
2015-07-16,BONTHE,1,3,7,2015-W28,2015-08-20
2015-07-16,KAILAHUN,0,3,7,2015-W28,2015-08-20
2015-07-16,KAMBIA,1,3,7,2015-W28,2015-08-20
2015-07-16,KENEMA,0.9750000000000014,3,7,2015-W28,2015-08-20
2015-07-16,KOINADUGU,1,3,7,2015-W28,2015-08-20
2015-07-16,KONO,0,3,7,2015-W28,2015-08-20
2015-07-16,MOYAMBA,0,3,7,2015-W28,2015-08-20
2015-07-16,PORT.LOKO,0,2,6,2015-W28,2015-08-20
2015-07-16,PUJEHUN,1,3,7.024999999999977,2015-W28,2015-08-20
2015-07-16,TONKOLILI,0.9750000000000014,3,7,2015-W28,2015-08-20
2015-07-16,WESTERN,1.9750000000000014,5,9,2015-W28,2015-08-20
2015-07-23,BO,0,2,6,2015-W28,2015-08-20
2015-07-23,BOMBALI,0,3,6,2015-W28,2015-08-20
2015-07-23,BONTHE,0,3,6,2015-W28,2015-08-20
2015-07-23,KAILAHUN,0,3,6,2015-W28,2015-08-20
2015-07-23,KAMBIA,0,2,6,2015-W28,2015-08-20
2015-07-23,KENEMA,0,3,6,2015-W28,2015-08-20
2015-07-23,KOINADUGU,0,3,6,2015-W28,2015-08-20
2015-07-23,KONO,0,3,6,2015-W28,2015-08-20
2015-07-23,MOYAMBA,0,2,6,2015-W28,2015-08-20
2015-07-23,PORT.LOKO,0,2,5,2015-W28,2015-08-20
2015-07-23,PUJEHUN,0,3,6,2015-W28,2015-08-20
2015-07-23,TONKOLILI,0,2,6,2015-W28,2015-08-20
2015-07-23,WESTERN,1,4,8,2015-W28,2015-08-20
2015-07-30,BO,4,9,14,2015-W28,2015-08-20
2015-07-30,BOMBALI,3,9,15,2015-W28,2015-08-20
2015-07-30,BONTHE,4,9,15,2015-W28,2015-08-20
2015-07-30,KAILAHUN,4,9,15,2015-W28,2015-08-20
2015-07-30,KAMBIA,3,9,15,2015-W28,2015-08-20
2015-07-30,KENEMA,4,9,15,2015-W28,2015-08-20
2015-07-30,KOINADUGU,4,8,15,2015-W28,2015-08-20
2015-07-30,KONO,4,9,14,2015-W28,2015-08-20
2015-07-30,MOYAMBA,3.9750000000000014,9,14,2015-W28,2015-08-20
2015-07-30,PORT.LOKO,2,6,12,2015-W28,2015-08-20
2015-07-30,PUJEHUN,4,9,15,2015-W28,2015-08-20
2015-07-30,TONKOLILI,4,9,15,2015-W28,2015-08-20
2015-07-30,WESTERN,6.975000000000001,13,20,2015-W28,2015-08-20
2015-08-06,BO,1,5,9,2015-W28,2015-08-20
2015-08-06,BOMBALI,1,5,9.024999999999977,2015-W28,2015-08-20
2015-08-06,BONTHE,1,5,9,2015-W28,2015-08-20
2015-08-06,KAILAHUN,1,5,9,2015-W28,2015-08-20
2015-08-06,KAMBIA,1,5,9,2015-W28,2015-08-20
2015-08-06,KENEMA,1,5,9,2015-W28,2015-08-20
2015-08-06,KOINADUGU,1,5,9,2015-W28,2015-08-20
2015-08-06,KONO,1,5,9,2015-W28,2015-08-20
2015-08-06,MOYAMBA,1,5,9,2015-W28,2015-08-20
2015-08-06,PORT.LOKO,0,3,7,2015-W28,2015-08-20
2015-08-06,PUJEHUN,1,5,10,2015-W28,2015-08-20
2015-08-06,TONKOLILI,1,5,9,2015-W28,2015-08-20
2015-08-06,WESTERN,3,7,13,2015-W28,2015-08-20
2015-08-13,BO,0,2,5,2015-W28,2015-08-20
2015-08-13,BOMBALI,0,2,5,2015-W28,2015-08-20
2015-08-13,BONTHE,0,2,5,2015-W28,2015-08-20
2015-08-13,KAILAHUN,0,2,5,2015-W28,2015-08-20
2015-08-13,KAMBIA,0,2,5,2015-W28,2015-08-20
2015-08-13,KENEMA,0,2,5,2015-W28,2015-08-20
2015-08-13,KOINADUGU,0,2,5,2015-W28,2015-08-20
2015-08-13,KONO,0,2,4,2015-W28,2015-08-20
2015-08-13,MOYAMBA,0,2,4,2015-W28,2015-08-20
2015-08-13,PORT.LOKO,0,1,4,2015-W28,2015-08-20
2015-08-13,PUJEHUN,0,2,4,2015-W28,2015-08-20
2015-08-13,TONKOLILI,0,2,4.024999999999977,2015-W28,2015-08-20
2015-08-13,WESTERN,0,2,6,2015-W28,2015-08-20
2015-08-20,BO,1,4,7,2015-W28,2015-08-20
2015-08-20,BOMBALI,0,3,8,2015-W28,2015-08-20
2015-08-20,BONTHE,0,3,7,2015-W28,2015-08-20
2015-08-20,KAILAHUN,0,3,7,2015-W28,2015-08-20
2015-08-20,KAMBIA,0,3,7,2015-W28,2015-08-20
2015-08-20,KENEMA,0.9750000000000014,3,8,2015-W28,2015-08-20
2015-08-20,KOINADUGU,0,3,8,2015-W28,2015-08-20
2015-08-20,KONO,0,3,7,2015-W28,2015-08-20
2015-08-20,MOYAMBA,0.9750000000000014,3,8,2015-W28,2015-08-20
2015-08-20,PORT.LOKO,0,2,6,2015-W28,2015-08-20
2015-08-20,PUJEHUN,0,3,8,2015-W28,2015-08-20
2015-08-20,TONKOLILI,1,3,7,2015-W28,2015-08-20
2015-08-20,WESTERN,2,5,10,2015-W28,2015-08-20
