Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-03-19,BO,3,8,14,2015-W11,2015-04-23
2015-03-19,BOMBALI,4,10,16,2015-W11,2015-04-23
2015-03-19,BONTHE,3,8,13,2015-W11,2015-04-23
2015-03-19,KAILAHUN,3,8,14,2015-W11,2015-04-23
2015-03-19,KAMBIA,3,8,14,2015-W11,2015-04-23
2015-03-19,KENEMA,0,3,7,2015-W11,2015-04-23
2015-03-19,KOINADUGU,4,9,15,2015-W11,2015-04-23
2015-03-19,KONO,1,4,8,2015-W11,2015-04-23
2015-03-19,MOYAMBA,1,4,8,2015-W11,2015-04-23
2015-03-19,PORT.LOKO,2,6,12,2015-W11,2015-04-23
2015-03-19,PUJEHUN,3,8,13,2015-W11,2015-04-23
2015-03-19,TONKOLILI,2,6,11,2015-W11,2015-04-23
2015-03-19,WESTERN,3,8,13.024999999999977,2015-W11,2015-04-23
2015-03-26,BO,6,12,19,2015-W11,2015-04-23
2015-03-26,BOMBALI,8,14,22,2015-W11,2015-04-23
2015-03-26,BONTHE,6,11,19,2015-W11,2015-04-23
2015-03-26,KAILAHUN,6,11,19,2015-W11,2015-04-23
2015-03-26,KAMBIA,6,12,18,2015-W11,2015-04-23
2015-03-26,KENEMA,1,4,9,2015-W11,2015-04-23
2015-03-26,KOINADUGU,7,13,21.024999999999977,2015-W11,2015-04-23
2015-03-26,KONO,2,6,11,2015-W11,2015-04-23
2015-03-26,MOYAMBA,1,5,10,2015-W11,2015-04-23
2015-03-26,PORT.LOKO,4,10,16,2015-W11,2015-04-23
2015-03-26,PUJEHUN,6,12,19,2015-W11,2015-04-23
2015-03-26,TONKOLILI,4,9,15,2015-W11,2015-04-23
2015-03-26,WESTERN,5,12,18,2015-W11,2015-04-23
2015-04-02,BO,7,14,22,2015-W11,2015-04-23
2015-04-02,BOMBALI,10,18,26,2015-W11,2015-04-23
2015-04-02,BONTHE,8,14,22,2015-W11,2015-04-23
2015-04-02,KAILAHUN,7,14,21,2015-W11,2015-04-23
2015-04-02,KAMBIA,8,14,22,2015-W11,2015-04-23
2015-04-02,KENEMA,1,5,10.024999999999977,2015-W11,2015-04-23
2015-04-02,KOINADUGU,9,16,24.024999999999977,2015-W11,2015-04-23
2015-04-02,KONO,2,7,13,2015-W11,2015-04-23
2015-04-02,MOYAMBA,2,7,12,2015-W11,2015-04-23
2015-04-02,PORT.LOKO,6,12,18,2015-W11,2015-04-23
2015-04-02,PUJEHUN,7,14,22,2015-W11,2015-04-23
2015-04-02,TONKOLILI,5,11,17,2015-W11,2015-04-23
2015-04-02,WESTERN,7,14,21,2015-W11,2015-04-23
2015-04-09,BO,2,6,11,2015-W11,2015-04-23
2015-04-09,BOMBALI,2,7,12,2015-W11,2015-04-23
2015-04-09,BONTHE,2,6,11,2015-W11,2015-04-23
2015-04-09,KAILAHUN,2,6,11,2015-W11,2015-04-23
2015-04-09,KAMBIA,2,6,10,2015-W11,2015-04-23
2015-04-09,KENEMA,0,2,5,2015-W11,2015-04-23
2015-04-09,KOINADUGU,2,6,11.024999999999977,2015-W11,2015-04-23
2015-04-09,KONO,0,3,7,2015-W11,2015-04-23
2015-04-09,MOYAMBA,0,2,6,2015-W11,2015-04-23
2015-04-09,PORT.LOKO,1,5,9,2015-W11,2015-04-23
2015-04-09,PUJEHUN,2,6,10,2015-W11,2015-04-23
2015-04-09,TONKOLILI,1,4,8,2015-W11,2015-04-23
2015-04-09,WESTERN,2,6,11,2015-W11,2015-04-23
2015-04-16,BO,2,6,11,2015-W11,2015-04-23
2015-04-16,BOMBALI,3,7,12,2015-W11,2015-04-23
2015-04-16,BONTHE,2,6,11,2015-W11,2015-04-23
2015-04-16,KAILAHUN,2,6,10.024999999999977,2015-W11,2015-04-23
2015-04-16,KAMBIA,2,6,11,2015-W11,2015-04-23
2015-04-16,KENEMA,0,2,6,2015-W11,2015-04-23
2015-04-16,KOINADUGU,2,7,12,2015-W11,2015-04-23
2015-04-16,KONO,0,3,7,2015-W11,2015-04-23
2015-04-16,MOYAMBA,0,3,6,2015-W11,2015-04-23
2015-04-16,PORT.LOKO,1,5,9,2015-W11,2015-04-23
2015-04-16,PUJEHUN,2,6,11,2015-W11,2015-04-23
2015-04-16,TONKOLILI,1,4,9,2015-W11,2015-04-23
2015-04-16,WESTERN,2,6,11,2015-W11,2015-04-23
2015-04-23,BO,4,9,16,2015-W11,2015-04-23
2015-04-23,BOMBALI,6,11,18,2015-W11,2015-04-23
2015-04-23,BONTHE,4,9,16,2015-W11,2015-04-23
2015-04-23,KAILAHUN,4,9,16,2015-W11,2015-04-23
2015-04-23,KAMBIA,4,9,15,2015-W11,2015-04-23
2015-04-23,KENEMA,0,3,7.024999999999977,2015-W11,2015-04-23
2015-04-23,KOINADUGU,5,11,17,2015-W11,2015-04-23
2015-04-23,KONO,1,5,9,2015-W11,2015-04-23
2015-04-23,MOYAMBA,1,4,8,2015-W11,2015-04-23
2015-04-23,PORT.LOKO,3,7,13,2015-W11,2015-04-23
2015-04-23,PUJEHUN,4,9,15,2015-W11,2015-04-23
2015-04-23,TONKOLILI,2,7,12,2015-W11,2015-04-23
2015-04-23,WESTERN,4,9,14,2015-W11,2015-04-23
