Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-10-29,BO,0,2,6,2015-W43,2015-12-03
2015-10-29,BOMBALI,0,0,0,2015-W43,2015-12-03
2015-10-29,BONTHE,0,2,6,2015-W43,2015-12-03
2015-10-29,KAILAHUN,0,2,6,2015-W43,2015-12-03
2015-10-29,KAMBIA,0,0,0,2015-W43,2015-12-03
2015-10-29,KENEMA,0,2,6,2015-W43,2015-12-03
2015-10-29,KOINADUGU,0,2,6,2015-W43,2015-12-03
2015-10-29,KONO,0,2,6,2015-W43,2015-12-03
2015-10-29,MOYAMBA,0,2,6,2015-W43,2015-12-03
2015-10-29,PORT.LOKO,0,2,6,2015-W43,2015-12-03
2015-10-29,PUJEHUN,0,2,6,2015-W43,2015-12-03
2015-10-29,TONKOLILI,0,2,6,2015-W43,2015-12-03
2015-10-29,WESTERN,0,3,6,2015-W43,2015-12-03
2015-11-05,BO,0,3,6,2015-W43,2015-12-03
2015-11-05,BOMBALI,0,0,0,2015-W43,2015-12-03
2015-11-05,BONTHE,0,3,6.024999999999977,2015-W43,2015-12-03
2015-11-05,KAILAHUN,0,3,6,2015-W43,2015-12-03
2015-11-05,KAMBIA,0,0,0,2015-W43,2015-12-03
2015-11-05,KENEMA,0,3,7,2015-W43,2015-12-03
2015-11-05,KOINADUGU,0,3,6,2015-W43,2015-12-03
2015-11-05,KONO,0,3,7,2015-W43,2015-12-03
2015-11-05,MOYAMBA,0,3,7,2015-W43,2015-12-03
2015-11-05,PORT.LOKO,0,3,7,2015-W43,2015-12-03
2015-11-05,PUJEHUN,0,3,6,2015-W43,2015-12-03
2015-11-05,TONKOLILI,0,3,7,2015-W43,2015-12-03
2015-11-05,WESTERN,0,3,7,2015-W43,2015-12-03
2015-11-12,BO,0,0,0,2015-W43,2015-12-03
2015-11-12,BOMBALI,0,0,0,2015-W43,2015-12-03
2015-11-12,BONTHE,0,0,0,2015-W43,2015-12-03
2015-11-12,KAILAHUN,0,0,0,2015-W43,2015-12-03
2015-11-12,KAMBIA,0,0,0,2015-W43,2015-12-03
2015-11-12,KENEMA,0,0,0,2015-W43,2015-12-03
2015-11-12,KOINADUGU,0,0,0,2015-W43,2015-12-03
2015-11-12,KONO,0,0,0,2015-W43,2015-12-03
2015-11-12,MOYAMBA,0,0,0,2015-W43,2015-12-03
2015-11-12,PORT.LOKO,0,0,0,2015-W43,2015-12-03
2015-11-12,PUJEHUN,0,0,0,2015-W43,2015-12-03
2015-11-12,TONKOLILI,0,0,0,2015-W43,2015-12-03
2015-11-12,WESTERN,0,0,0,2015-W43,2015-12-03
2015-11-19,BO,0,0,0,2015-W43,2015-12-03
2015-11-19,BOMBALI,0,0,0,2015-W43,2015-12-03
2015-11-19,BONTHE,0,0,0,2015-W43,2015-12-03
2015-11-19,KAILAHUN,0,0,0,2015-W43,2015-12-03
2015-11-19,KAMBIA,0,0,0,2015-W43,2015-12-03
2015-11-19,KENEMA,0,0,0,2015-W43,2015-12-03
2015-11-19,KOINADUGU,0,0,0,2015-W43,2015-12-03
2015-11-19,KONO,0,0,0,2015-W43,2015-12-03
2015-11-19,MOYAMBA,0,0,0,2015-W43,2015-12-03
2015-11-19,PORT.LOKO,0,0,0,2015-W43,2015-12-03
2015-11-19,PUJEHUN,0,0,0,2015-W43,2015-12-03
2015-11-19,TONKOLILI,0,0,0,2015-W43,2015-12-03
2015-11-19,WESTERN,0,0,0,2015-W43,2015-12-03
2015-11-26,BO,0,0,0,2015-W43,2015-12-03
2015-11-26,BOMBALI,0,0,0,2015-W43,2015-12-03
2015-11-26,BONTHE,0,0,0,2015-W43,2015-12-03
2015-11-26,KAILAHUN,0,0,0,2015-W43,2015-12-03
2015-11-26,KAMBIA,0,0,0,2015-W43,2015-12-03
2015-11-26,KENEMA,0,0,0,2015-W43,2015-12-03
2015-11-26,KOINADUGU,0,0,0,2015-W43,2015-12-03
2015-11-26,KONO,0,0,0,2015-W43,2015-12-03
2015-11-26,MOYAMBA,0,0,0,2015-W43,2015-12-03
2015-11-26,PORT.LOKO,0,0,0,2015-W43,2015-12-03
2015-11-26,PUJEHUN,0,0,0,2015-W43,2015-12-03
2015-11-26,TONKOLILI,0,0,0,2015-W43,2015-12-03
2015-11-26,WESTERN,0,0,0,2015-W43,2015-12-03
2015-12-03,BO,0,0,0,2015-W43,2015-12-03
2015-12-03,BOMBALI,0,0,0,2015-W43,2015-12-03
2015-12-03,BONTHE,0,0,0,2015-W43,2015-12-03
2015-12-03,KAILAHUN,0,0,0,2015-W43,2015-12-03
2015-12-03,KAMBIA,0,0,0,2015-W43,2015-12-03
2015-12-03,KENEMA,0,0,0,2015-W43,2015-12-03
2015-12-03,KOINADUGU,0,0,0,2015-W43,2015-12-03
2015-12-03,KONO,0,0,0,2015-W43,2015-12-03
2015-12-03,MOYAMBA,0,0,0,2015-W43,2015-12-03
2015-12-03,PORT.LOKO,0,0,0,2015-W43,2015-12-03
2015-12-03,PUJEHUN,0,0,0,2015-W43,2015-12-03
2015-12-03,TONKOLILI,0,0,0,2015-W43,2015-12-03
2015-12-03,WESTERN,0,0,0,2015-W43,2015-12-03
